sm04010105127|<uzdah> mnogobrojne proslave u europi otkazane su primjerice vatromet u
sm04010105128|<uzdah> talinu i tartu u estoniji <sil> te tradicionalni koncert na trgu <sil> taksimu u istanbulu
sm04010105129|<uzdah> zemlje ~lanice europske unije odlu~ile su
sm04010105130|<uzdah> na slu`benim zgradama spustiti zastave na pola stijega <sil> iz su^uti za `rtve katastrofe u jugoisto~noj aziji
sm04010105131|<uzdah> a {vedska norve{ka i finska <sil> prvoga su sije~nja
sm04010105132|<uzdah> proglasile
sm04010105133|<uzdah> danom `alosti
sm04010105134|<uzdah> u londonu je veliki vatromet obasjao grad to~no u pono^
sm04010105135|<uzdah> a nju je pak otkucao big ben
sm04010105136|<uzdah> nazo~ni na proslavama odali su po~ast `rtvama s dvije minute {utnje
sm04010105137|<uzdah> italija je ovu godinu do~ekala neoubi~ajeno mirno iz po{tovanja i solidarnosti sa stradalima u katastrofi
sm04010105138|<uzdah> rim je <sil> kao i ve^ina talijanskih gradova
sm04010105139|<uzdah> otkazao tradicionalni vatromet
sm04010105140|<uzdah> u nekim se gradovima nisu niti odr`ale velike novogodi{nje proslave
sm04010105141|<uzdah> kao u bolonji torinu napulju
sm04010105142|<uzdah> bolsanu padovi i <sil> benventu
sm04010105143|<uzdah> papa ivan pavao drugi novu je godinu do~ekao mole^i se za `rtve katastrofe u aziji
sm04010105144|<uzdah> u parizu je na elizejske poljane <sil> do{lo ~etiristo tisu^a ljudi
sm04010105145|<uzdah> a stabla du` te avenije bila su omotana crnim vrpcama u znak po~asti stradalima
sm04010105146|<uzdah> izme}u ~etiristo i {esto tisu^a ljudi stiglo je nakon
sm04010105147|<uzdah> ki{e
sm04010105148|<uzdah> pred brandebur{ka vrata u berlinu
sm04010105149|<uzdah> gdje je veliki vatromet trajao jedanaest minuta <udarac>
sm04010105150|<uzdah> organizatori te najve^e novogodi{nje proslave
sm04010105151|<uzdah> pozvali su sudionike da po{alju esemes poruke na broj unicefa
sm04010105152|<uzdah> pa je do pono^i skupljeno tristo osamnaest tisu^a eura
sm04010105153|<uzdah> stotine tisu^a ljudi proslavile su dolazak dvije tisu^e pete
sm04010105154|<uzdah> na tajms skveru u njujorku
sm04010105155|<uzdah> i oni su minutom {utnje odali po~ast `rtvama cunamija u jugoisto~noj aziji
sm04010105156|nekoliko sekundi prije pono^i
sm04010105157|<uzdah> na okupljeno se mno{tvo spustila kristalna kugla simbol po~etka nove godine
sm04010105158|radecki mar{
sm04010105159|<uzdah> glazbenici na taj na~in pokazuju svoje suosje^anje s poginulima i nestalima u katastrofi
sm04010105160|<uzdah> na jugoistoku azije
sm04010105161|<uzdah> be~ki filharmoni~ari tim nastupom tradicionalno {alju prvu glazbenu ~estitku iz be~a u svijet
sm04010105162|<uzdah> ove ga godine prenosi ~etrdeset {est zemalja
sm04010105163|<uzdah> a prvi put i indonezija <udarac>
sm04010105164|<uzdah> zbog tragi~nih doga}aja u aziji na koncert nisu do{li austrijski predsjednik
sm04010105165|<uzdah> hajnc fi{er
sm04010105166|<uzdah> kancelar volgang {isl te ministri
sm04010105167|<uzdah> oni su prihod od ulaznica darovali akciji susjed u nevolji
sm04010105168|<uzdah> od danas po~inje raditi jedinstvena hitna medicinska slu`ba osje~ko baranjske `upanije
sm04010105169|<uzdah> na telefonski broj devedeset ~etiri
sm04010105170|<uzdah> javljat ^e se glavni centar u osijeku
sm04010105171|<uzdah> jer vi{e ne postoji <sil> <t> teritorijalne granice pojedinih domova zdravlja za vozila te slu`be
sm04010105172|<uzdah> sada ^e se
sm04010105173|<uzdah> za intervenciju koristiti ono najbli`e mjestu <sil> doga}aja
sm04010105174|<uzdah> u jedinstvenoj hitnoj medicinskoj slu`bi rade ~etrdeset tri ekipe lije~nika
sm04010105175|<uzdah> dvadeset dva tima sanitetske pomo^i
sm04010105176|<uzdah> zatim deset medicinskih sestara ili tehni~ara
sm04010105177|<uzdah> te pet <sil> lije~nika u prijemnoj ambulanti
sm04010105178|argentinska policija uhitila je vlasnika diskoteke u kojoj je u po`aru stradalo sto sedamdeset petero posjetitelja <sil>
sm04010105179|<uzdah> a prema posljednjim podacima ozlije}eno je
sm04010105180|<uzdah> osamsto osamdeset devetero
sm04010105181|<uzdah> ministar unutarnjih poslova anibal fernandez
sm04010105182|<uzdah> izjavio je <sil> da su mladi ljudi upali u smrtonosnu klopku
sm04010105183|<uzdah> te je osudio propuste u sustavu osiguranja
sm04010105184|<uzdah> rekao je da je lokal teoretski imao <sil> propisane izlaze
sm04010105185|<uzdah> ali u praksi su se samo dvoja vrata mogla otvoriti
sm04010105186|<uzdah> a ~etvera su bila zatvorena `icom
sm04010105187|<uzdah> vjeruje se
sm04010105188|<uzdah> da se ve^ina `rtava ugu{ila dimom <uzdah>
sm04010105189|<uzdah> vremenska prognoza za poslijepodne
sm04010105190|<uzdah> na jadranu prete`ito sun~ano <sil> ne{to obla~nije na sjevernome dijelu
sm04010105191|<uzdah> u unutra{njosti uglavnom obla~no
sm04010105192|<uzdah> ponegdje sa sumaglicom <sil> slaba ki{a i susnje`ica mjestimice u isto~nim krajevima
sm04010105193|<uzdah> vjetar u kopnenom podru~ju slab
sm04010105194|<uzdah> a na jadranu umjerena bura mjestimice
sm04010105195|<uzdah> samo ponegdje i jaka <sil> a prema otvorenome <a> <sil> sjeverozapadnjak
sm04010105196|<uzdah> <sil> temperatura u kopnenom podru~ju izme}u jedan i {est stupnjeva <sil> a u unutra{njosti dalmacije i istre
sm04010105197|<uzdah> te du` obale od deset do petnaest
sm04010105201|<uzdah> mnogi su se odrekli vatrometa i skupocjene pirotehnike u korist pomo^i
sm04010105202|<uzdah> u stradalim zemljama proslava gotovo nije bilo <papir>
sm04010105204|<uzdah> s tradicionalnog novogodi{njeg koncerta dali su sto tisu^a eura
sm04010105205|<sil> djevoj~ici ro}enoj dvadeset i {estoga prosinca na dan kataklizme u jugoisto~noj aziji
sm04010105206|<uzdah> roditelji su dali ime cunami
sm04010105207|<uzdah> djevoj~ica je ro}ena mjesec dana prije roka u {umi
sm04010105208|<uzdah> kamo su pobjegli roditelji nakon potresa
sm04010105209|<uzdah> i ba{ dok je golemi val ru{io njihovu ku^u na otoku u indijskome arhipelagu
sm04010105210|<uzdah> andamanima
sm04010105211|<uzdah> oto~je je gotovo tisu^u kilometara udaljeno od indijske obale
sm04010105212|<uzdah> a neki su otoci vrlo blizu sumatre i epicentra potresa
sm04010105213|<uzdah> nova je godina u <papir> italiji po~ela poskupljenjima i zabranama
sm04010105214|<uzdah> tako je od danas vo`nja tamo{njim autocestama skuplja za gotovo tri posto
sm04010105215|<uzdah> a istodobno su za ~etiri posto ve^e kazne za prometne prekr{aje
sm04010105216|<uzdah> poput prebrze vo`nje
sm04010105217|<uzdah> djeci do ~etrnaest godina zabranjeno je skijati bez <sil> kacige
sm04010105218|<uzdah> a od desetoga sije~nja
sm04010105219|<uzdah> na svim ^e javnim mjestima biti zabranjeno pu{enje
sm04010105220|<uzdah> <papir> pa tako i u kafi^ima i u restoranima {to ^e posebice pogoditi talijane <sil>
sm04010105221|<uzdah> kazne su visoke i iznose i nekoliko tisu^a <sil> eura
sm04010105222|<uzdah> a mogu se i udvostru~iti <sil> ako je netko pu{io u nazo~nosti trudnice ili djeteta
sm04010105223|<uzdah> osim toga poskupile su i cigarete
sm04010105224|<uzdah> a nove vi{e cijene odre}ene su i za struju te <sil> plin
sm04010105225|<uzdah> argentinska policija uhitila je vlasnika diskoteke
sm04010105226|<uzdah> u kojoj je u po`aru stradalo sto sedamdeset petero posjetitelja <sil> a prema posljednjim podacima ozlije}eno je
sm04010105227|osamsto osamdeset devetero
sm04010105228|<uzdah> ministar unutarnjih poslova anibal fernandez
sm04010105229|<uzdah> izjavio je <sil> da su mladi ljudi upali u smrtonosnu klopku
sm04010105230|<uzdah> te osudio propuste u sustavu osiguranja
sm04010105231|<uzdah> rekao je da je lokal teoretski <sil> imao propisane izlaze
sm04010105232|<uzdah> ali u praksi su se samo dvoja vrata mogla otvoriti <sil> a <sil> ~etvera su bila zatvorena `icom
sm04010105233|<uzdah> vjeruje se da se ve^ina `rtava ugu{ila dimom
sm04010105234|<uzdah> izvje{taj pomorskoga meteorolo{kog centra split dr`avnoga hidrometeorolo{kog zavoda od trinaest sati <sil> stanje
sm04010105235|<uzdah> nad jadranom se sa zapada pru`a anticiklonalni greben
sm04010105236|<uzdah> vremenska prognoza za jadran za prvih dvanaest sati <sil> du` obale tiho ili bura ~etiri do deset ~vorova
sm04010105237|<uzdah> na otvorenome moru sjeverozapadni vjetar osam do {esnaest ~vorova
sm04010105238|<uzdah> more <sil> jedan do dva <sil> na otvorenome dva do tri
sm04010105239|<uzdah> vidljivost <sil> dvadeset kilometara
sm04010105240|<uzdah> prete`ito vedro
sm04010105241|<uzdah> povremeno s umjerenom naoblakom <sil> temperatura bez ve^e promjene
sm04010105242|<uzdah> i prognoza za sljede^ih dvanaest sati prete`ito vedro povremeno s umjerenom naoblakom
sm04010105243|<uzdah> vjetar slab sjeverozapadni
sm04010105244|<uzdah> du` obale samo ponegdje slaba bura
sm04010105245|<uzdah> more malo valovito <sil> na po~etku na otvorenome i <sil> umjereno valovito
sm04010105301|hrvatski radio <papir> aktualno u sedamnaest <sil> urednica je mira bari^ <uzdah>
sm04010105302|<uzdah> zemlje ~lanice europske unije odlu~ile su na slu`benim zgradama spustiti zastave na pola stijega
sm04010105303|iz su^uti za `rtve katastrofe u jugoisto~noj aziji
sm04010105304|<uzdah> a {vedska norve{ka i finska
sm04010105305|<uzdah> prvoga su sije~nja pro <sil> prvi su sije~nja proglasile
sm04010105306|<uzdah> danom `alosti
sm04010105307|<uzdah> dok je big ben otkucavao pono^ london je obasjao veli~anstven vatromet <sil> svi okupljeni na trafalgar skveru
sm04010105308|<uzdah> odali su po~ast `rtvama s dvije minute {utnje
sm04010105309|<uzdah> italija je ovu godinu do~ekala neoubi~ajeno mirno iz po{tovanja i solidarnosti sa stradalima u katastrofi
sm04010105310|<uzdah> rim je <sil> kao i ve^ina talijanskih gradova
sm04010105311|<uzdah> otkazao tradicionalni vatromet
sm04010105312|<uzdah> u nekim se gradovima
sm04010105313|<uzdah> nisu niti odr`ale
sm04010105314|<uzdah> velike novogodi{nje proslave kao u bolonji torinu napulju
sm04010105315|<uzdah> bolcanu <sil> padovi i benventu
sm04010105316|<uzdah> papa ivan pavao drugi novu je godinu do~ekao mole^i se za `rtve katastrofe u aziji
sm04010105317|tristo trideset tri automobila zapaljena su na silvestrovo u francuskoj uglavnom
sm04010105318|<uzdah> u pari{kim predgra}ima
sm04010105319|<uzdah> {to je vi{e nego lanjske stare godine kada je zapaljeno tristo dvadeset ~etiri automobila
sm04010105320|<uzdah> policija je privela dvjesto sedamdeset dvije osobe
sm04010105321|<uzdah> dok je u tim izgredima ozlije}eno devetnaest redarstvenika
sm04010105322|<uzdah> fenomen koje je posebnost francuske
sm04010105323|<uzdah> a pojavio se sredinom devedesetih
sm04010105324|<uzdah> prerastao je u obred u nekim siroma{nim ~etvrtima po~etkom svake godine
sm04010105325|<uzdah> a neki ga sociolozi nazivaju festivalom tu`nih <uzdah> predgra}a <uzdah>
sm04010105326|<uzdah> o do~eku dvije tisu^e pete jo{ jedna vijest
sm04010105327|novu je godinu <sil> prva do~ekala posada na me}unarodnoj svemirskoj postaji
sm04010105328|<uzdah> dvojica njezinih ~lanova u{la su u dvije tisu^e petu dok su letjeli iznad malog otoka u tihom oceanu
sm04010105329|<uzdah> ju~er u {esnaest sati i dvije minute
sm04010105330|<uzdah> zanimljivo je da su astronauti sali`an {aripov i
sm04010105331|<uzdah> liroj ~iau
sm04010105332|<uzdah> do~ekali novu godinu {esnaest puta
sm04010105333|<uzdah> jer njihova svemirska postaja u dvadeset ~etiri sata
sm04010105334|<uzdah> {esnaest puta obleti zemlju
sm04010105335|tisu^u petsto marinaca i nosa~ helikoptera s dvadeset letjelica
sm04010105336|<uzdah> kako bi pomogli u dopremi pomo^i i obnovi zemlje
sm04010105337|<uzdah> stradale u cunamiju
sm04010105338|<uzdah> u {ri lanki je poginulo vi{e od dvadeset osam tisu^a ljudi
sm04010105339|<uzdah> a spasila~ki timovi poku{avaju identificirati tijela `rtava
sm04010105340|<uzdah> najve^e prirodne katastrofe koju pamte stanovnici te oto~ne dr`ave u indijskom oceanu
sm04010105341|<uzdah> amerika je obe^ala i pomo^ u <sil> od milijardu i sto milijuna dolara
sm04010105342|<uzdah> japan je danas najavio da ^e dati petsto milijuna dolara europska unija poslat ^e dvadeset tri milijuna eura
sm04010105343|<uzdah> kina {ezdeset dva milijuna dolara
sm04010105344|<uzdah> velika britanija osamdeset {est milijuna dolara
sm04010105345|<uzdah> individualnih donacija i pedeset milijuna dolara koliko je obe^ala vlada
sm04010105346|<uzdah> australci su
sm04010105347|<uzdah> u novogodi{njoj no^i skupili <sil> osamsto pedeset tisu^a dolara
sm04010105348|<uzdah> ~ime su donacije gra}ana narasle
sm04010105349|<uzdah> na ukupno trideset osam i pol milijuna dolara
sm04010105350|<uzdah> tome treba dodati i pomo^ vlade od ~etrdeset {est milijuna dolara
sm04010105351|<uzdah> na{a zemlja priklju~ila se tako}er akciji sa ~etiri milijuna kuna
sm04010105352|<uzdah> a crveni kri` dosad
sm04010105353|<uzdah> za pomo^ stradalima skupio
sm04010105354|<uzdah> tristo dvadeset osam tisu^a kuna
sm04010105355|<uzdah> a akcija se nastavlja
sm04010105356|<uzdah> onima koji su pre`ivjeli katastrofalne valove sada ugro`avaju zaraze
sm04010105357|<uzdah> zbog nesta{ice pitke vode i lijekova
sm04010105358|<uzdah> djevoj~ici ro}enoj dvadeset {estoga prosinca na dan kataklizme u jugoisto~noj aziji
sm04010105359|<uzdah> roditelji su dali ime cunami
sm04010105360|<uzdah> djevoj~ica je ro}ena mjesec dana prije roka u {umi
sm04010105361|<uzdah> kamo su pobjegli roditelji nakon potresa
sm04010105362|<uzdah> i ba{ dok je golemi val ru{io njihovu ku^u na otoku u indijskome
sm04010105363|<uzdah> arhipelagu <sil> andamanima
sm04010105364|<uzdah> oto~je je gotovo tisu^u kilometara udaljeno od indijske obale
sm04010105365|a neki su otoci vrlo blizu sumatre i epicentra potresa
sm04010105367|<uzdah> nad jadranom se sa zapada pru`a anticiklonalni greben
sm04010105368|<uzdah> vremenska prognoza za jadran za prvih dvanaest sati
sm04010105369|<uzdah> du` obale tiho ili bura ~etiri do deset ~vorova
sm04010105370|sjeverozapadni vjetar osam do {esnaest ~vorova
sm04010105371|<uzdah> more jedan do dva na otvorenome dva do tri
sm04010105372|<uzdah> vidljivost dvadeset kilometara
sm04010105373|<uzdah> <udarac> prete`ito vedro povremeno s umjerenom naoblakom
sm04010105374|<uzdah> temperatura bez ve^e promjene <sil> i prognoza za sljede^ih dvanaest sati
sm04010105375|<uzdah> prete`ito vedro povremeno s umjerenom naoblakom
sm04010105376|<uzdah> vjetar slab sjeverozapadni
sm04010105377|du` obale samo ponegdje slaba bura <udarac>
sm04010105378|<uzdah> more malo valovito na po~etku na otvorenome i umjereno <uzdah> valovito <uzdah>
sm04020204201|organizacija za europsku sigurnost i suradnju mogla bi prema mi{ljenju slovenskih diplomata
sm04020204202|arbitrirati u sporu slovenije i hrvatske oko granice na moru
sm04020204203|pi{e danas ljubljansko delo
sm04020204204|list podsje^a da je talijanski premijer berluskoni
sm04020204205|ponudio biti posrednikom 
sm04020204206|te da izjave ropa i sanadera
sm04020204207|nakon njihova pro{lotjedna sastanka na brdu kod kranja
sm04020204208|upu^uju da ^e nekakav oblik posredovanja tre^e strane vjerojatno biti nu`an
sm04020204209|delo tvrdi kako postoji prijedlog
sm04020204210|da se za problem dugova ljubljanske banke osnuju posebna povjerenstva
sm04020204211|{to je va`an pomak kad je rije~ o hrvatskoj strani
sm04020204212|sve do sada navodi slovenski list
sm04020204213|slu`beno je hrvatsko stajali{te bilo da u tome nema pregovora
sm04020204214|jer su devizni depoziti problem odnosa banke sa {tedi{ama
sm04020204215|i da dugove mora platiti ljubljanska banka bilo stara bilo nova
sm04020204216|a parlament kurda proglasio je u ira~kom kurdistanu
sm04020204217|trodnevnu `alost nakon napada bomba{a samoubojica
sm04020204218|koji su se dogodili ju~er na kurban bajram u gradu erbilu
sm04020204219|prema posljednjim podacima poginulo je pedeset i {est osoba a dvjesto je ranjeno pri eksploziji u uredima dviju vode^ih kurdskih stranaka
sm04020204220|te stranke koje zajedni~ki nadziru ira~ki kurdistan
sm04020204221|osnovale su tisu^u devetsto devedeset prve parlament
sm04020204222|koji je ~etiri godina kasnije prestao s radom
sm04020204223|nakon silovitih me}usobnih sukoba
sm04020204224|ponovno je uspostavljen lani kako bi prihvatio sporazum o pomirbi suparni~kih stranaka a na poticaj sjedinjenih dr`ava uo~i napada na irak
sm04020204225|nakon {to je va{ington pristao na istragu o tome koliko je napad na irak bio opravdan
sm04020204226|sve je ve^i pritisak na tonija blera da u~ini isto
sm04020204227|njegov glavni oporbeni protivnik majkel havard
sm04020204228|izjavio je da britanskom premijeru nakon onoga {to je u~inio bu{
sm04020204229|ne ostaje mnogo izbora
sm04020204230|najavio je i da ^e ovaj tjedan u parlamentu zatra`iti da se pokrene istraga o pogre{kama britanske obavje{tajne slu`be u vezi s navodnim ira~kim oru`jem
sm04020204231|prema zahtjevu `upanijskog dr`avnog odvjetni{tva iz kolovoza pro{le godine
sm04020204232|obavljeni su obavjesni razgovori s biv{im direktorom brodogradili{ta viktor lenac
sm04020204233|damirom vrhovnikom zbog mogu^eg kaznenog djela zloporabe ste~aja i utvr}ivanja okolnosti kupoprodaje doka jedanaest
sm04020204234|kako doznajemo od glasnogovornice policijske uprave primorskogoranske mirjane kula{
sm04020204235|o svim utvr}enim ~injenicama tijekom dana{njeg i sutra{njeg ispitivanja obavit ^e se zavr{ne konzultacije sa `upanijskim dr`avnim odvjetni{tvom
sm04020204236|kojem ^e se o tome dostaviti posebno izvje{^e
sm04020204237|<uzdah> biometeorolo{ka prognoza za danas <sil> vrijeme ^e povoljno djelovati na ljude <uzdah> {to ^e nakon mirnoga sna utjecati na koncentraciju i dobro raspolo`enje 
sm04020204238|ni kroni~ni bolesnici zbog vremena ne bi trebali osje^ati tegobe
sm04020204301|jutros je otvoreno odlagali{te otpada donja gora na biokovu
sm04020204302|kojim su se sve op^ine makarskoga primorja koristile kao odlagali{tem punih devedeset sedam godina
sm04020204303|odluka `upana o po~etku sanacije slijedila je nakon vi{e od tri i pol mjeseca mu~nih rasprava koje nisu rodile nikakvim rje{enjem
sm04020204304|dana{nje micanje kamenja i betona koje su postavili prosvjednici iz podgore u listopadu pro{le godine po~etak je sanacije
sm04020204305|koja ^e trajati trinaest mjeseci rekao je `upan kruno peronja
sm04020204306|najva`nije je da se za to vrijeme otpad
sm04020204307|odla`e na tom odlagali{tu dvadesetak podgorana iz ekolo{ke udruge levant tome se i dalje protivi
sm04020204308|pa su najavili novu blokadu nakon {to pristupne puteve napusti interventna policija
sm04020204309|policiju su pak poslijepodne zamijenili djelatnici za{titarske tvrtke
sm04020204310|koji ^e trajno osiguravati to podru~je
sm04020204311|zamjenik ravnatelja kabecea zagreb rajko ostoji^
sm04020204312|predao je stru~no mi{ljenje o zdravstvenom stanju generala tihomira bla{ki^a uredu njegova branitelja ante nobila koji je to mi{ljenje i tra`io
sm04020204313|ostoji^ nije otkrio nikakve pojedinosti pa se i dalje ne zna je li bla{ki^ bolestan i o kojoj bolesti je rije~
sm04020204314|mi{ljenje je napisano isklju~ivo na temelju medicinske dokumentacije koja mu je
sm04020204315|preko bla{ki^eva branitelja dostavljena iz nizozemske
sm04020204316|nobilo je podsje^amo zatra`io od hrvatskih lije~nika stru~no mi{ljenje o bla{ki^evu zdravlju
sm04020204317|nakon {to njegovi zdravstveni problemi ni nakon godinu dana lije~enja nisu rije{eni
sm04020204318|ameri~ki predsjednik #or# bu{ osnovat ^e ovaj tjedan neovisno povjerenstvo sa zada^om da istra`i podatke kojima se koristio kao opravdanjem za napad na irak 
sm04020204319|bu{ koji se tome odlu~no protivio na to je bio prisiljen zbog sna`nog pritiska kongresnika
sm04020204320|isto prema svemu sude^i o~ekuje i britanskoga premijera tonija blera jer opasno oru`je koje je bilo i opravdanje za napad na irak nije na}eno
sm04020204321|oporba u parlamentu ve^ je najavila da ^e zatra`iti istragu o pogre{kama britanske obavje{tajne slu`be u vezi s navodnim ira~kim oru`jem
sm04020204322|ni bliskoisto~ne prilike se ne smiruju
sm04020204323|govori se i o mogu^oj ostavci palestinskog premijera ahmeda koreija
sm04020204324|zbog zamrzavanja pregovora i ja~anja nasilja {to je istodobno osna`ilo islamisti~ki pokret hamas
sm04020204325|i danas je u izraelskoj vojnoj akciji u betlehemu bilo stradalih na obje strane
sm04020204326|ubijen je jedan pripadnik hamasa a ~etiri izraelska vojnika su ranjena
sm04020204327|u me}uvremenu {aronova je vlada od va{ingtona zatra`ila da odgodi objavljivanje godi{njeg izvje{^a
sm04020204328|o stanju ljudskih prava u svijetu
sm04020204329|strahuje od kritika koje bi se ponajprije mogle odnositi na gradnju kontraverzne ograde na zapadnoj obali
sm04020204330|{to bi prema pisanju izraelskog lista haredsa moglo izazvati i reakciju me}unarodnog suda pravde u haagu
sm04020204331|da li zbog tog izvje{^a ali i nastojanja da se zaustavi nasilje {aron je naredio pripremu za evakuaciju sedamnaest izraelskih naselja u pojasu gaze
sm04020204332|rekao je kako polazi od na~ela da u budu^nosti tamo ne^e biti `idova evakuacijom je obuhva^eno sedam  i pol tisu^a ljudi
sm04020204333|devedeset pet radnika pilane u brinju po~eli su {trajk jer im od listopada nisu ispla^ene pla^e
sm04020204334|prema rije~ima sindikalnog povjerenika
sm04020204335|to im je bila jedina mogu^nost jer postupak mirenja s poslodavcem nije uspio
sm04020204336|brinjska pilana donedavno je kao poslovna jedinica bila  u sastavu zagreba~ke industrogradnje
sm04020204337|nakon ~ega je dana u zakup vi{egodi{njem direktoru te poslovne jedinice dubravku ~opu
sm04020204338|on je izjavio da razumije nezadovoljstvo radnika koji formalno imaju pravo
sm04020204339|te da je sa strate{kim partnerima iz rijeke i zagreba spreman osigurati sirovinu i po~eti proizvodnju
sm04020204340|uo~i dana grada dubrovnika i blagdana dubrova~koga za{titnika svetoga vlaha koji ^e dubrov~ani proslaviti sutra
sm04020204341|u kazali{tu marina dr`i^a odr`ana je sve~ana sjednica gradskoga vije^a
sm04020204342|na sjednici je bio i predsjednik stjepan mesi^ koji je podsjetio na slavnu pro{lost dubrovnika i nekada{nje dubrova~ke republike
sm04020204343|najte`e razdoblje dubrovnik je do`ivio za vrijeme srpskocrnogorske agresije kada je tristo devedeset dva dan
sm04020204344|bio u izolaciji bez vode i struje okolica mu je bila okupirana i sustavno razarana a grad te{ko bombardiran rekao je predsjednik
sm04020204345|govore^i o planovima gradske uprave gradona~elnica dubravka {uica istaknula je povratak dubrovnika me}u najva`nija svjetska turisti~ka odredi{ta
sm04020204346|a izvje{taj pomorskoga meteorolo{koga centra split dr`avnoga hidrometeorolo{koga zavoda od trinaest sati po~inje upozorenjem
sm04020204347|<uzdah> tijekom no^i i jutra na sjevernome i dijelu srednjega jadrana vidljivost ponegdje manja od jednog kilometra zbog kratkotrajne magle 
sm04020204348|stanje
sm04020204349|prostrano anticiklonalno polje zadr`ava se nad jadranom
sm04020204350|vremenska prognoza za jadran za prvih dvanaest sati uz obalu gotovo tiho ili vjetar promjenjiva smjera ~etiri do deset ~vorova na otvorenome moru sjeverozapadni vjetar {est do ~etrnaest ~vorova
sm04020204351|more jedan do dva na otvorenomu dva do tri vidljivost deset do dvadeset kilometara
sm04020204352|na sjevernome dijelu srednjeg <uzdah> mjestimice smanjena na ~etiri kilometra zbog sumaglice tijekom no^i ponegdje manja 
sm04020204353|od jednog kilometra zbog magle promjenjivo obla~no sa sun~anim razdobljima
sm04020204354|i prognoza za slijede^ih dvanaest sati promjenjivo obla~no
sm04020204355|uz obalu burin <sil> na otvorenome moru slab do umjeren sjeverozapadni vjetar 
sm04020204356|more malo na otvorenom ju`nog i dijelu srednjeg jadrana umjereno valoviti malo toplije
sm04040502401|izvje{taj pomorskog meteorolo{kog centra split dr`avnoga hidrometeorolo{kog zavoda po~inje upozorenjem
sm04040502402|mjestimice neverini <sil> na ju`nom jadranu na po~etku ponegdje udari juga <uzdah> do trideset {est ~vorova oslabjet ^e 
sm04040502403|stanje <uzdah> ciklona s ligurskog mora i jadrana polako se pomi~e prema sjeveru <uzdah> a pripadni frontalni poreme^aj polako se kre^e prema istoku 
sm04040502404|vremenska prognoza za jadran za prvih dvanaest sati <sil> vjetar ju`ni i jugozapadni <sil> ponegdje sjeverozapadni {est do osamnaest ~vorova
sm04040502405|more dva do tri na po~etku na otvorenom ju`nog jadrana tri do ~etiri <uzdah> vidljivost deset do dvadeset kilometara ponegdje sumaglica <uzdah> promjenljivo obla~no ki{a i grmljavina 
sm04040502406|i prognoza za slijede^ih dvanaest sati <sil> na po~etku promjenljivo obla~no mjestimice pljusak <uzdah> mogu^a grmljavina <uzdah> zatim i sun~ana razdoblja 
sm04040502407|vjetar slab ponegdje umjeren ve^inom jugozapadni i zapadni <uzdah> more malo do umjereno valovito malo svje`ije
sm04040502408|<uzdah> a na ju`nom i dijelu srednjeg jadrana na po~etku jugo trinaest do dvadeset pet ~vorova <uzdah> brzo ^e oslabjeti
